Month,Delhi,Kolkata,Mumbai,Chennai
"August 03, 2019",72.62,75.3,78.27,75.44
"August 02, 2019",72.69,75.37,78.34,75.52
"August 01, 2019",72.8,75.44,78.42,75.6
"July 31, 2019",72.86,75.5,78.48,75.66
"July 30, 2019",72.86,75.5,78.48,75.66
"July 29, 2019",72.99,75.63,78.61,75.8
"July 28, 2019",73.14,75.75,78.75,75.96
"July 27, 2019",73.24,75.81,78.85,76.06
"July 26, 2019",73.29,75.83,78.9,76.11
"July 25, 2019",73.35,75.85,78.96,76.18
"July 24, 2019",73.41,75.87,79.02,76.24
"July 23, 2019",73.41,75.87,79.02,76.24
"July 22, 2019",73.35,75.77,78.96,76.18
"July 21, 2019",73.35,75.77,78.96,76.18
"July 20, 2019",73.35,75.77,78.96,76.18
"July 19, 2019",73.35,75.77,78.96,76.18
"July 18, 2019",73.35,75.77,78.96,76.18
"July 17, 2019",73.27,75.65,78.88,76.09
"July 16, 2019",73.27,75.65,78.88,76.09
"July 15, 2019",73.21,75.55,78.82,76.03
"July 14, 2019",73.08,75.38,78.69,75.89
"July 13, 2019",72.99,75.25,78.61,75.8
"July 12, 2019",72.9,75.12,78.52,75.7
"July 11, 2019",72.9,75.12,78.52,75.7
"July 10, 2019",72.9,75.12,78.52,75.7
"July 09, 2019",72.9,75.12,78.52,75.7
"July 08, 2019",72.96,75.15,78.57,75.76
"July 07, 2019",72.96,75.15,78.57,75.76
"July 06, 2019",72.96,75.15,78.57,75.76
"July 05, 2019",70.51,72.75,76.15,73.19
"July 04, 2019",70.51,72.75,76.15,73.19
"July 03, 2019",70.51,72.75,76.15,73.19
"July 02, 2019",70.51,72.75,76.15,73.19
"July 01, 2019",70.44,72.67,76.11,73.15
"June 30, 2019",70.37,72.63,76.06,73.1
"June 29, 2019",70.28,72.54,75.97,73.01
"June 28, 2019",70.17,72.43,75.87,72.89
"June 27, 2019",70.12,72.38,75.82,72.84
"June 26, 2019",70.05,72.31,75.75,72.77
"June 25, 2019",70.05,72.31,75.75,72.77
"June 24, 2019",70.05,72.31,75.75,72.77
"June 23, 2019",69.98,72.24,75.68,72.69
"June 22, 2019",69.93,72.19,75.63,72.64
"June 21, 2019",69.93,72.19,75.63,72.64
"June 20, 2019",69.93,72.19,75.63,72.64
"June 19, 2019",69.93,72.19,75.63,72.64
"June 18, 2019",69.93,72.19,75.63,72.64
"June 17, 2019",69.93,72.19,75.63,72.64
"June 16, 2019",69.93,72.19,75.63,72.64
"June 15, 2019",69.99,72.25,75.69,72.7
"June 14, 2019",70.18,72.44,75.88,72.9
"June 13, 2019",70.35,72.61,76.04,73.08
"June 12, 2019",70.43,72.68,76.12,73.17
"June 11, 2019",70.43,72.68,76.12,73.17
"June 10, 2019",70.43,72.68,76.12,73.17
"June 09, 2019",70.56,72.81,76.25,73.3
"June 08, 2019",70.72,72.97,76.41,73.47
"June 07, 2019",70.94,73.19,76.63,73.7
"June 06, 2019",71.07,73.31,76.76,73.84
"June 05, 2019",71.23,73.47,76.91,74.01
"June 04, 2019",71.23,73.47,76.91,74.01
"June 03, 2019",71.3,73.54,76.98,74.08
"June 02, 2019",71.5,73.71,77.16,74.27
"June 01, 2019",71.62,73.74,77.28,74.39
"May 31, 2019",71.73,73.79,77.34,74.46
"May 30, 2019",71.8,73.86,77.41,74.53
"May 29, 2019",71.86,73.92,77.47,74.59
"May 28, 2019",71.86,73.92,77.47,74.59
"May 27, 2019",71.77,73.83,77.38,74.5
"May 26, 2019",71.67,73.73,77.28,74.39
"May 25, 2019",71.53,73.6,77.14,74.25
"May 24, 2019",71.39,73.46,77,74.1
"May 23, 2019",71.25,73.32,76.86,73.95
"May 22, 2019",71.17,73.24,76.78,73.87
"May 21, 2019",71.17,73.24,76.78,73.87
"May 20, 2019",71.12,73.19,76.73,73.82
"May 19, 2019",71.03,73.11,76.64,73.72
